EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.0125	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28821.4	-8980	0.1
100	-16809.6	-8980	0.1
200	-21074.05	-8980	0.1
300	-23260.5	-8980	0.1
400	-20173.5	-8980	0.1
500	-17908.5	-8980	0.1
600	-20858.4	-8980	0.1
700	-16236.3	-8980	0.1
800	-17372.2	-8980	0.1
900	-15368.45	-8980	0.1
1000	-15947.4	-8980	0.1
1100	-18182.35	-8980	0.1
1200	-20753.4	-8980	0.1
1300	-22887.2	-8896	0.1
1400	-22673.1	-8896	0.1
1500	-19300.2	-8896	0.1
1600	-16749.85	-8896	0.1
1700	-18237.35	-8896	0.1
1800	-18195.55	-8896	0.1
1900	-21946.2	-8896	0.1
2000	-17777.9	-8896	0.1
2100	-18010.25	-8896	0.1
2200	-18411.95	-8896	0.1
2300	-23488.35	-8896	0.1
2400	-19530.55	-8896	0.1
2500	-19114.1	-8896	0.1
2600	-18556.95	-8836	0.1
2700	-23472.7	-8785	0.1
2800	-18491.35	-8785	0.1
2900	-18029.55	-8785	0.1
3000	-17409.95	-8785	0.1
3100	-19289.55	-8785	0.1
3200	-19266.7	-8785	0.1
3300	-17784.35	-8785	0.1
3400	-24103.95	-8785	0.1
3500	-19363.3	-8785	0.1
3600	-20493.45	-8785	0.1
3700	-25100.3	-8785	0.1
3800	-19381.15	-8785	0.1
3900	-17833.35	-8785	0.1
4000	-20149.35	-8785	0.1
4100	-20163.9	-8785	0.1
4200	-18207.45	-8785	0.1
4300	-16279.35	-8785	0.1
4400	-16269.85	-8785	0.1
4500	-18951.9	-8785	0.1
4600	-18689.55	-8754	0.1
4700	-17972.15	-8747	0.1
4800	-18568.75	-8747	0.1
4900	-19323.85	-8747	0.1
Total Time: 40.163350105285645
Best Route: 11 29 30 21 17 7 2 42 22 1 32 49 35 34 36 39 40 37 38 24 48 5 15 6 4 25 46 44 16 50 20 23 31 18 3 45 19 41 8 9 10 43 33 51 12 28 27 26 47 13 14 52 
Fitness=-8747

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-28356.45	-8980	0.1
100	-17630.45	-8975	0.1
200	-18222.8	-8975	0.1
300	-21011.4	-8934	0.1
400	-19563.2	-8934	0.1
500	-17263.35	-8934	0.1
600	-20371.4	-8913	0.1
700	-17407.45	-8913	0.1
800	-17542.05	-8913	0.1
900	-18823.2	-8913	0.1
1000	-18488.55	-8913	0.1
1100	-23101.9	-8913	0.1
1200	-18030.25	-8913	0.1
1300	-22090.2	-8913	0.1
1400	-21501.85	-8913	0.1
1500	-22853.9	-8913	0.1
1600	-18357.9	-8913	0.1
1700	-21218.9	-8913	0.1
1800	-19236.0	-8913	0.1
1900	-19010.85	-8898	0.1
2000	-15074.65	-8788	0.1
2100	-20376.2	-8788	0.1
2200	-18149.0	-8727	0.1
2300	-21235.3	-8727	0.1
2400	-16439.4	-8727	0.1
2500	-20142.15	-8727	0.1
2600	-15276.1	-8727	0.1
2700	-25488.4	-8727	0.1
2800	-17687.15	-8727	0.1
2900	-20236.5	-8727	0.1
3000	-22723.95	-8727	0.1
3100	-15204.45	-8727	0.1
3200	-17720.4	-8727	0.1
3300	-16541.8	-8727	0.1
3400	-24235.7	-8727	0.1
3500	-18316.95	-8727	0.1
3600	-18296.35	-8727	0.1
3700	-16941.4	-8727	0.1
3800	-16091.0	-8727	0.1
3900	-18838.95	-8727	0.1
4000	-20861.85	-8727	0.1
4100	-22138.75	-8727	0.1
4200	-21192.95	-8727	0.1
4300	-17723.7	-8727	0.1
4400	-16191.8	-8727	0.1
4500	-20353.4	-8727	0.1
4600	-17688.9	-8727	0.1
4700	-15608.2	-8727	0.1
4800	-15214.7	-8727	0.1
4900	-19346.55	-8727	0.1
Total Time: 40.31614303588867
Best Route: 22 1 32 49 36 35 34 39 40 37 38 48 24 5 15 6 4 25 46 44 16 50 20 23 31 18 3 45 19 41 8 9 10 43 33 51 12 28 27 47 26 13 14 52 11 29 30 21 42 7 2 17 
Fitness=-8727

EA2
Population Size	Generations	Mutation Rate	Crossover Rate	Breading Population Size	Tournament Size	Elite Size
20	5000	0.1	0.95	5	2	1
Current Generation	Average Fitness	Best Fitness	Mutation Rate
0	-29169.2	-8980	0.1
100	-16093.35	-8903	0.1
200	-21612.9	-8903	0.1
300	-17408.4	-8903	0.1
400	-17836.45	-8903	0.1
500	-20198.65	-8903	0.1
600	-19642.25	-8903	0.1
700	-17417.3	-8903	0.1
800	-19728.0	-8841	0.1
900	-16777.55	-8841	0.1
1000	-20248.25	-8841	0.1
1100	-24311.9	-8841	0.1
1200	-14891.25	-8841	0.1
1300	-20146.1	-8841	0.1
1400	-17438.6	-8841	0.1
1500	-17368.1	-8841	0.1
1600	-20920.9	-8841	0.1
1700	-20296.5	-8841	0.1
1800	-16786.5	-8841	0.1
1900	-17721.7	-8841	0.1
2000	-16703.0	-8841	0.1
2100	-16551.15	-8841	0.1
2200	-18424.45	-8841	0.1
2300	-16860.9	-8841	0.1
2400	-20538.35	-8841	0.1
2500	-18812.9	-8841	0.1
2600	-19180.3	-8841	0.1
2700	-16447.1	-8841	0.1
2800	-21835.45	-8841	0.1
2900	-17634.95	-8841	0.1
3000	-21802.3	-8841	0.1
3100	-20426.65	-8841	0.1
3200	-24456.4	-8841	0.1
3300	-17803.7	-8841	0.1
3400	-22026.75	-8841	0.1
3500	-20062.8	-8841	0.1
3600	-16429.65	-8841	0.1
3700	-17866.05	-8841	0.1
3800	-19974.7	-8841	0.1
3900	-19640.8	-8841	0.1
4000	-19539.6	-8841	0.1
4100	-13704.05	-8841	0.1
4200	-17492.65	-8841	0.1
4300	-19872.9	-8841	0.1
4400	-19584.65	-8841	0.1
4500	-23570.4	-8836	0.1
4600	-23878.3	-8822	0.1
